:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2" "n1"}, "n2" #{"n0"}, "n1" #{"n0"}}]
1	:ok	:generate	"6cb511b9-4be1-41d2-819e-a5fe1da81546"
2	:ok	:generate	"ba5b639c-5c99-4a48-afc7-133eeb998aa1"
0	:ok	:generate	"a980be44-9354-4cec-a792-4d2cc338325b"
0	:invoke	:generate	nil
0	:ok	:generate	"3369e7c4-8724-407e-860c-ea72b1a1a9a2"
1	:invoke	:generate	nil
1	:ok	:generate	"a4b7f8ac-4b20-4980-b03f-9393a04c5192"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"d27efffd-cf9a-470a-bb3a-df7b41e21132"
0	:ok	:generate	"ae209b8f-3bed-40bc-9fa6-ce977d341aac"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"d90c2891-060a-49f4-a8c6-bd8a5870d04e"
1	:ok	:generate	"8138c3b7-5ccc-4873-9151-54fbd40cfbe3"
2	:invoke	:generate	nil
2	:ok	:generate	"5ddd3e75-b0d4-4dad-a967-7f1b9764f8de"
0	:invoke	:generate	nil
0	:ok	:generate	"0028f176-6d33-4f5e-b346-5756b6572458"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"d481ba91-6e2c-4bf3-99b9-d75d29ccbf2f"
1	:ok	:generate	"9594f97f-c954-481d-9016-6f3aaec5ffd9"
2	:invoke	:generate	nil
2	:ok	:generate	"1a18afc6-635b-401a-a9e9-d9033a3645f5"
0	:invoke	:generate	nil
0	:ok	:generate	"4cf92818-56b3-4224-bf8e-84ef15c8d34a"
0	:invoke	:generate	nil
0	:ok	:generate	"fcc7b076-977e-47e5-ae48-68d99fa5fb10"
1	:invoke	:generate	nil
1	:ok	:generate	"e6631f4f-0161-4364-9a8c-8970be5c1e00"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"55107f2c-48f9-4bf9-b275-3ee7c6f9957d"
0	:ok	:generate	"81e23692-0496-4ea1-a636-c4d5b8211a31"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"d46d9801-01c4-4a7e-a1d5-11da3e33215c"
2	:ok	:generate	"d519ab22-a25a-400f-b76c-6a85915f3f7a"
1	:ok	:generate	"6e1acf46-ccc8-48c9-a8cf-f2dcc552e8f8"
0	:invoke	:generate	nil
0	:ok	:generate	"58aa5292-4e0a-4390-a9ef-16d2ff6c1cb4"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"9d225a1c-0f3f-4118-b3e1-b212e287b2cf"
1	:ok	:generate	"9158d362-ca4a-44f9-810b-0312ec0f3448"
2	:invoke	:generate	nil
2	:ok	:generate	"2dd17ab2-9644-4de2-a793-6bbb314f7e02"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"ca431308-8a31-4c3c-a639-b8bd8ec35b98"
1	:ok	:generate	"d95c79b1-9531-47df-9c73-d7e5c484e886"
1	:invoke	:generate	nil
1	:ok	:generate	"1fde7432-d2cc-4f51-b394-1177f4ebbe97"
2	:invoke	:generate	nil
2	:ok	:generate	"0ac7a708-cdda-4bcd-8739-7cebcd616892"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"179bd530-f1bb-4c05-9f6e-d8187854ae9c"
1	:ok	:generate	"087d0c28-b39e-4bed-8c8f-bf1d1c3175b1"
1	:invoke	:generate	nil
1	:ok	:generate	"1934873e-6a4f-4eae-9577-667214b32ef8"
2	:invoke	:generate	nil
2	:ok	:generate	"adccdade-18cf-4b82-9831-9f539065c782"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1e7136dd-6df3-423c-9060-3cde03aa72d0"
1	:ok	:generate	"3d79a7a8-d85b-4cee-9da0-7f0e0b6b5a95"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"1cad6e74-2411-4c42-9d52-ca1f30ef5b54"
2	:ok	:generate	"e140e85d-1496-483a-b374-ad76e1228512"
0	:invoke	:generate	nil
0	:ok	:generate	"aa963307-b1d2-4ab8-a559-907485067e81"
0	:invoke	:generate	nil
0	:ok	:generate	"8fb0a2ae-3332-491e-9529-9e0b35a534b9"
1	:invoke	:generate	nil
1	:ok	:generate	"5db9cb5d-6f39-4aa1-9443-05e649d0325c"
2	:invoke	:generate	nil
2	:ok	:generate	"4cdb66a3-402f-4ca6-acd8-71816389ed36"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"6dd41460-10b8-426a-b7e4-310b56247be7"
0	:ok	:generate	"1c4af505-bb84-4a3c-b29e-785815706e13"
0	:invoke	:generate	nil
2	:ok	:generate	"f403bd6c-8f70-4083-9d7a-4062f2565605"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"a78ffbec-c6e4-4f9c-bfb0-065a67191ad2"
0	:ok	:generate	"b62efb9a-9063-463c-8681-e720159ff40a"
2	:ok	:generate	"d18e5e5b-4b61-491a-a35a-91b51e72b9e6"
1	:invoke	:generate	nil
1	:ok	:generate	"b54a2dda-3f90-4eff-9d40-531ed97a5048"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	"57b704f0-3a6b-4921-8586-8396835e42dd"
2	:ok	:generate	"219b23f1-1120-4f40-8c3c-c6c1b7389fd0"
0	:invoke	:generate	nil
0	:ok	:generate	"a7ee7864-bb34-452e-a729-4d3295e757ff"
1	:invoke	:generate	nil
1	:ok	:generate	"f9e58a63-e040-40ff-9977-3d0c418f6cfa"
2	:invoke	:generate	nil
2	:ok	:generate	"6f601cde-34bb-4d36-9f0d-9731fe249034"
